"carat","cut","color","clarity","depth","table","price","x","y","z","V11"
"1",0.23,"Ideal","E","SI2",61.5,55,14262,3.95,3.98,2.43,0.871724103344604
"2",0.21,"Premium","E","SI1",59.8,61,9329,3.89,3.84,2.31,0.257506864611059
"3",0.23,"Good","E","VS1",56.9,65,NA,4.05,4.07,2.31,0.0568052076268941
"4",0.29,"Premium","I","VS2",62.4,58,9472,4.2,4.23,2.63,0.5657146172598
"5",0.31,"Good","J","SI2",63.3,58,5453,4.34,4.35,2.75,0.501200855709612
"6",0.24,"Very Good","J","VVS2",62.8,57,NA,3.94,3.96,2.48,0.0715361014008522
"7",0.24,"Very Good","I","VVS1",62.3,57,NA,3.95,3.98,2.47,0.0586847844533622
"8",0.26,"Very Good","H","SI1",61.9,55,6024,4.07,4.11,2.53,0.754158091731369
"9",0.22,"Fair","E","VS2",65.1,61,3736,3.87,3.78,2.49,0.101280285278335
"10",0.23,"Very Good","H","VS1",59.4,61,6078,4,4.05,2.39,0.803097151452675
"11",0.3,"Good","J","SI1",64,55,5417,4.25,4.28,2.73,0.87985793245025
"12",0.23,"Ideal","J","VS1",62.8,56,12274,3.93,3.9,2.46,0.541327821556479
"13",0.22,"Premium","F","SI1",60.4,61,8206,3.88,3.84,2.33,0.395005802391097
"14",0.31,"Ideal","J","SI2",62.2,54,12512,4.35,4.37,2.71,0.278470076154917
"15",0.2,"Premium","E","SI2",60.2,62,9260,3.79,3.75,2.27,0.18521656957455
"16",0.32,"Premium","E","I1",60.9,58,9286,4.38,4.42,2.68,0.67706862417981
"17",0.3,"Ideal","I","SI2",62,54,11889,4.31,4.34,2.68,0.406607516109943
"18",0.3,"Good","J","SI1",63.4,54,4362,4.23,4.29,2.7,0.387745473533869
"19",0.3,"Good","J","SI1",63.8,56,5404,4.23,4.26,2.71,0.557560573797673
"20",0.3,"Very Good","J","SI1",62.7,59,7189,4.21,4.27,2.66,0.407005053712055
"21",0.3,"Good","I","SI2",63.3,56,5627,4.26,4.3,2.71,0.253475052071735
"22",0.23,"Very Good","E","VS2",63.8,55,7556,3.85,3.92,2.48,0.638523578876629
"23",0.23,"Very Good","H","VS1",61,57,7095,3.94,3.96,2.41,0.245858762413263
"24",0.31,"Very Good","J","SI1",59.4,62,6106,4.39,4.43,2.62,0.686846701428294
"25",0.31,"Very Good","J","SI1",58.1,62,6525,4.44,4.47,2.59,0.592530700145289
"26",0.23,"Very Good","G","VVS2",60.4,58,7760,3.97,4.01,2.41,0.772329404717311
"27",0.24,"Premium","I","VS1",62.5,57,9550,3.97,3.94,2.47,0.701899274252355
"28",0.3,"Very Good","J","VS2",62.2,57,NA,4.28,4.3,2.67,0.0897324536927044
"29",0.23,"Very Good","D","VS2",60.5,61,6794,3.96,3.97,2.4,0.57359359995462
"30",0.23,"Very Good","F","VS1",60.9,57,6325,3.96,3.99,2.42,0.940455177333206
"31",0.23,"Very Good","F","VS1",60,57,6538,4,4.03,2.41,0.299716141074896
"32",0.23,"Very Good","F","VS1",59.8,57,6610,4.04,4.06,2.42,0.358090883819386
"33",0.23,"Very Good","E","VS1",60.7,59,7663,3.97,4.01,2.42,0.761296096490696
"34",0.23,"Very Good","E","VS1",59.5,58,6661,4.01,4.06,2.4,0.994761823210865
"35",0.23,"Very Good","D","VS1",61.9,58,7622,3.92,3.96,2.44,0.327529571717605
"36",0.23,"Good","F","VS1",58.2,59,5406,4.06,4.08,2.37,0.585733742685989
"37",0.23,"Good","E","VS1",64.1,59,5983,3.83,3.85,2.46,0.804029861930758
"38",0.31,"Good","H","SI1",64,54,4861,4.29,4.31,2.75,0.275084748631343
"39",0.26,"Very Good","D","VS2",60.8,59,7498,4.13,4.16,2.52,0.379217309644446
"40",0.33,"Ideal","I","SI2",61.8,55,13608,4.49,4.51,2.78,0.768388655269518
"41",0.33,"Ideal","I","SI2",61.2,56,12256,4.49,4.5,2.75,0.559003046480939
"42",0.33,"Ideal","J","SI1",61.1,56,13666,4.49,4.55,2.76,0.221505897352472
"43",0.26,"Good","D","VS2",65.2,56,4295,3.99,4.02,2.61,0.33612001943402
"44",0.26,"Good","D","VS1",58.4,63,4010,4.19,4.24,2.46,0.21452903165482
"45",0.32,"Good","H","SI2",63.1,56,5121,4.34,4.37,2.75,0.894556283950806
"46",0.29,"Premium","F","SI1",62.4,58,9053,4.24,4.26,2.65,0.70332620292902
"47",0.32,"Very Good","H","SI2",61.8,55,6053,4.35,4.42,2.71,0.224950167350471
"48",0.32,"Good","H","SI2",63.8,56,5402,4.36,4.38,2.79,0.897654771106318
"49",0.25,"Very Good","E","VS2",63.3,60,7513,4,4.03,2.54,0.755432589678094
"50",0.29,"Very Good","H","SI2",60.7,60,6200,4.33,4.37,2.64,0.208696966059506
"51",0.24,"Very Good","F","SI1",60.9,61,6773,4.02,4.03,2.45,0.525009274715558
"52",0.23,"Ideal","G","VS1",61.9,54,13434,3.93,3.95,2.44,0.563672982156277
"53",0.32,"Ideal","I","SI1",60.9,55,14263,4.45,4.48,2.72,0.702897881856188
"54",0.22,"Premium","E","VS2",61.6,58,NA,3.93,3.89,2.41,0.0652346077840775
"55",0.22,"Premium","D","VS2",59.3,62,9706,3.91,3.88,2.31,0.148143576458097
"56",0.3,"Ideal","I","SI2",61,59,NA,4.3,4.33,2.63,0.0183385882992297
"57",0.3,"Premium","J","SI2",59.3,61,9554,4.43,4.38,2.61,0.382392947562039
"58",0.3,"Very Good","I","SI1",62.6,57,7365,4.25,4.28,2.67,0.665954952826723
"59",0.3,"Very Good","I","SI1",63,57,6517,4.28,4.32,2.71,0.402463451726362
"60",0.3,"Good","I","SI1",63.2,55,5845,4.25,4.29,2.7,0.113078251015395
"61",0.35,"Ideal","I","VS1",60.9,57,13320,4.54,4.59,2.78,0.517636108910665
"62",0.3,"Premium","D","SI1",62.6,59,8660,4.23,4.27,2.66,0.661321237450466
"63",0.3,"Ideal","D","SI1",62.5,57,13074,4.29,4.32,2.69,0.876282488927245
"64",0.3,"Ideal","D","SI1",62.1,56,13441,4.3,4.33,2.68,0.486271297559142
"65",0.42,"Premium","I","SI2",61.5,59,9354,4.78,4.84,2.96,0.367919719545171
"66",0.28,"Ideal","G","VVS2",61.4,56,13644,4.19,4.22,2.58,0.891691678203642
"67",0.32,"Ideal","I","VVS1",62,55.3,10078,4.39,4.42,2.73,0.390369269996881
"68",0.31,"Very Good","G","SI1",63.3,57,NA,4.33,4.3,2.73,0.0371727456804365
"69",0.31,"Premium","G","SI1",61.8,58,8052,4.35,4.32,2.68,0.50135484430939
"70",0.24,"Premium","E","VVS1",60.7,58,8370,4.01,4.03,2.44,0.865156449144706
"71",0.24,"Very Good","D","VVS1",61.5,60,6974,3.97,4,2.45,0.238987989723682
"72",0.3,"Very Good","H","SI1",63.1,56,7150,4.29,4.27,2.7,0.436042216373608
"73",0.3,"Premium","H","SI1",62.9,59,8812,4.28,4.24,2.68,0.605349710443988
"74",0.3,"Premium","H","SI1",62.5,57,9181,4.29,4.25,2.67,0.829294267576188
"75",0.3,"Good","H","SI1",63.7,57,4503,4.28,4.26,2.72,0.277538337279111
"76",0.26,"Very Good","F","VVS2",59.2,60,7710,4.19,4.22,2.49,0.667738175252452
"77",0.26,"Very Good","E","VVS2",59.9,58,7949,4.15,4.23,2.51,0.29487119987607
"78",0.26,"Very Good","D","VVS2",62.4,54,7155,4.08,4.13,2.56,0.865271407878026
"79",0.26,"Very Good","D","VVS2",62.8,60,6879,4.01,4.05,2.53,0.585202632239088
"80",0.26,"Very Good","E","VVS1",62.6,59,6892,4.06,4.09,2.55,0.806332281790674
"81",0.26,"Very Good","E","VVS1",63.4,59,7645,4,4.04,2.55,0.282573195872828
"82",0.26,"Very Good","D","VVS1",62.1,60,6410,4.03,4.12,2.53,0.906641697278246
"83",0.26,"Ideal","E","VVS2",62.9,58,14934,4.02,4.06,2.54,0.494390487438068
"84",0.38,"Ideal","I","SI2",61.6,56,14823,4.65,4.67,2.87,0.507261379156262
"85",0.26,"Good","E","VVS1",57.9,60,5456,4.22,4.25,2.45,0.319617637898773
"86",0.24,"Premium","G","VVS1",62.3,59,8468,3.95,3.92,2.45,0.841559509048238
"87",0.24,"Premium","H","VVS1",61.2,58,8278,4.01,3.96,2.44,0.509252593619749
"88",0.24,"Premium","H","VVS1",60.8,59,9500,4.02,4,2.44,0.485149862943217
"89",0.24,"Premium","H","VVS2",60.7,58,9417,4.07,4.04,2.46,0.495582325616851
"90",0.32,"Premium","I","SI1",62.9,58,8314,4.35,4.33,2.73,0.306699950248003
"91",0.7,"Ideal","E","SI1",62.5,57,10569,5.7,5.72,3.57,0.282289376016706
"92",0.86,"Fair","E","SI2",55.1,69,2073,6.45,6.33,3.52,0.700786817586049
"93",0.7,"Ideal","G","VS2",61.6,56,11474,5.7,5.67,3.5,0.216769257560372
"94",0.71,"Very Good","E","VS2",62.4,57,6045,5.68,5.73,3.56,0.164853428956121
"95",0.78,"Very Good","G","SI2",63.8,56,7257,5.81,5.85,3.72,0.991937812650576
"96",0.7,"Good","E","VS2",57.5,58,4955,5.85,5.9,3.38,0.5545261092484
"97",0.7,"Good","F","VS1",59.4,62,5052,5.71,5.76,3.4,0.82812374830246
"98",0.96,"Fair","F","SI2",66.3,62,3024,6.27,5.95,4.07,0.762048573000357
"99",0.73,"Very Good","E","SI1",61.6,59,7358,5.77,5.78,3.56,0.649234531214461
"100",0.8,"Premium","H","SI1",61.5,58,9233,5.97,5.93,3.66,0.837303799111396
"101",0.75,"Very Good","D","SI1",63.2,56,6889,5.8,5.75,3.65,0.401587088825181
"102",0.75,"Premium","E","SI1",59.9,54,9923,6,5.96,3.58,0.906940754503012
"103",0.74,"Ideal","G","SI1",61.6,55,11884,5.8,5.85,3.59,0.366053872043267
"104",0.75,"Premium","G","VS2",61.7,58,9875,5.85,5.79,3.59,0.117052654270083
"105",0.8,"Ideal","I","VS1",62.9,56,10757,5.94,5.87,3.72,0.567279035225511
"106",0.75,"Ideal","G","SI1",62.2,55,13253,5.87,5.8,3.63,0.469546520384029
"107",0.8,"Premium","G","SI1",63,59,NA,5.9,5.81,3.69,0.0660663510207087
"108",0.74,"Ideal","I","VVS2",62.3,55,10112,5.77,5.81,3.61,0.103572783060372
"109",0.81,"Ideal","F","SI2",58.8,57,11840,6.14,6.11,3.6,0.687846443150192
"110",0.59,"Ideal","E","VVS2",62,55,13207,5.38,5.43,3.35,0.619678841205314
"111",0.8,"Ideal","F","SI2",61.4,57,13398,5.96,6,3.67,0.185548499459401
"112",0.74,"Ideal","E","SI2",62.2,56,NA,5.8,5.84,3.62,0.0874225730076432
"113",0.9,"Premium","I","VS2",63,58,9253,6.16,6.12,3.87,0.571832964429632
